Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
27,1.0,0.0,0.0,2695.0,7.0,486.0,7181.0,0.1,501.94000000000227,0.0,0.0,1410.5043921470642,,,,,,,,,,,,,,,,,,,,,202.4577674907871,120.94626252425577,404.3538283022535,-8.964083874125917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,2874.0,8.0,179.0,7360.0,0.1,182.34000000000043,0.0,0.0,1428.0515775680542,,,,,,,,,,,,,,,,,,,,,69.7018516445075,53.506303251491424,170.20360556315396,-5.985019985006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,3112.0,9.0,238.0,7598.0,0.1,231.4600000000009,0.0,0.0,1451.7784867286682,,,,,,,,,,,,,,,,,,,,,94.72462431494442,65.64588291768311,209.33399807519575,-7.972055930055973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,3147.0,10.0,35.0,7633.0,0.1,21.700000000000006,0.0,0.0,1455.4331467151642,,,,,,,,,,,,,,,,,,,,,3.793611727078722,9.358230677339845,21.610422824778976,-5.985019985006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,3241.0,11.0,94.0,7727.0,0.1,82.99999999999986,0.0,0.0,1464.9014644622803,,,,,,,,,,,,,,,,,,,,,32.055611927146956,26.264531437443118,80.14698630447086,-5.985019985006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,3929.0,12.0,688.0,8415.0,0.1,720.5799999999954,0.0,0.0,1531.549772977829,,,,,,,,,,,,,,,,,,,,,273.2689271404843,160.61977707287863,533.6377199294855,-5.985019985006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,4425.0,13.0,496.0,8911.0,0.1,559.5800000000006,0.0,0.0,1579.816990852356,,,,,,,,,,,,,,,,,,,,,232.6712342046145,134.54528450776996,445.06475227430786,-7.972055930055973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,4757.0,14.0,332.0,9243.0,0.1,315.4000000000013,0.0,0.0,1612.1753766536713,,,,,,,,,,,,,,,,,,,,,130.3047921507963,79.71564451895463,272.68390413029215,-6.979034965020993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,5241.0,15.0,484.0,9727.0,0.1,535.3200000000012,0.0,0.0,1659.0803003311157,,,,,,,,,,,,,,,,,,,,,221.4851633915198,131.23437282475209,428.9787093585122,-6.979034965020993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,5755.0,16.0,514.0,10241.0,0.1,493.3000000000014,0.0,0.0,1709.604582309723,,,,,,,,,,,,,,,,,,,,,202.79265061242754,128.23004925888893,389.8438754923214,-8.964083874125917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,6595.0,17.0,840.0,11081.0,0.1,905.3999999999922,0.0,0.0,1791.6283864974976,,,,,,,,,,,,,,,,,,,,,348.4287296758382,173.8296369212063,613.9471474199878,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,6703.0,18.0,108.0,11189.0,0.1,102.31999999999985,0.0,0.0,1802.0741155147552,,,,,,,,,,,,,,,,,,,,,41.50704254509793,32.22404845835483,98.0332077874966,-5.985019985006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,7205.0,19.0,502.0,11691.0,0.1,580.6999999999994,0.0,0.0,1851.0137763023376,,,,,,,,,,,,,,,,,,,,,227.26674725112065,146.39681091402971,467.54671877076004,-9.955119790251791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,7639.0,20.0,434.0,12125.0,0.1,484.72000000000196,0.0,0.0,1893.601883649826,,,,,,,,,,,,,,,,,,,,,201.53003802852712,116.16563644837586,398.05166878151346,-4.990009995001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,132.0,1.0,132.0,12257.0,0.1,119.8399999999998,0.0,0.0,3087.613917827606,,,,,,,,,,,,,,,,,,,,,45.633026006527196,36.4234898731944,114.04441535342993,-7.972055930055973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,192.0,2.0,60.0,12317.0,0.1,43.25999999999999,0.0,0.0,3093.623941898346,,,,,,,,,,,,,,,,,,,,,11.092782827121997,16.969666934175972,42.67974985032349,-7.972055930055973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,1020.0,3.0,828.0,13145.0,0.1,915.9799999999917,0.0,0.0,3173.9426131248474,,,,,,,,,,,,,,,,,,,,,355.96451457388815,177.82140261740463,622.485730908908,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,1861.0,4.0,841.0,13986.0,0.1,924.8399999999924,0.0,0.0,3253.6426815986633,,,,,,,,,,,,,,,,,,,,,361.9798911592603,179.67334273035172,621.6576050876322,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,2112.0,5.0,251.0,14237.0,0.1,264.14000000000055,0.0,0.0,3277.314267396927,,,,,,,,,,,,,,,,,,,,,111.06038690901048,74.33028592372602,236.73708030937723,-6.979034965020993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
